"P","G","Ca","L","offshore_conflict_payoff","surf_conflict_payoff","surf_accept_payoff","fight_minus_accept","offshore_implements","surf_prefers_fight"
0.2,0,4,2,13,5.6,8,-2.4,TRUE,FALSE
0.2,0,4,3,13,5.4,7,-1.6,TRUE,FALSE
0.2,0,4,4,13,5.2,6,-0.799999999999999,TRUE,FALSE
0.2,0,4,5,13,5,5,8.88178419700125e-16,TRUE,TRUE
0.2,0,4,6,13,4.8,4,0.800000000000001,TRUE,TRUE
0.2,0,5,1,13,4.8,9,-4.2,TRUE,FALSE
0.2,0,5,2,13,4.6,8,-3.4,TRUE,FALSE
0.2,0,5,3,13,4.4,7,-2.6,TRUE,FALSE
0.2,0,5,4,13,4.2,6,-1.8,TRUE,FALSE
0.2,0,5,5,13,4,5,-1,TRUE,FALSE
0.2,0,5,6,13,3.8,4,-0.2,TRUE,FALSE
0.2,0,6,1,13,3.8,9,-5.2,TRUE,FALSE
0.2,0,6,2,13,3.6,8,-4.4,TRUE,FALSE
0.2,0,6,3,13,3.4,7,-3.6,TRUE,FALSE
0.2,0,6,4,13,3.2,6,-2.8,TRUE,FALSE
0.2,0,6,5,13,3,5,-2,TRUE,FALSE
0.2,0,6,6,13,2.8,4,-1.2,TRUE,FALSE
0.2,1,0,1,12.8,10,9,1,TRUE,TRUE
0.2,1,0,2,12.8,9.8,8,1.8,TRUE,TRUE
0.2,1,0,3,12.8,9.6,7,2.6,TRUE,TRUE
0.2,1,0,4,12.8,9.4,6,3.4,TRUE,TRUE
0.2,1,0,5,12.8,9.2,5,4.2,TRUE,TRUE
0.2,1,0,6,12.8,9,4,5,TRUE,TRUE
0.2,1,1,1,12.8,9,9,0,TRUE,TRUE
0.2,1,1,2,12.8,8.8,8,0.800000000000001,TRUE,TRUE
0.2,1,1,3,12.8,8.6,7,1.6,TRUE,TRUE
0.2,1,1,4,12.8,8.4,6,2.4,TRUE,TRUE
0.2,1,1,5,12.8,8.2,5,3.2,TRUE,TRUE
0.2,1,1,6,12.8,8,4,4,TRUE,TRUE
0.2,1,2,1,12.8,8,9,-1,TRUE,FALSE
0.2,1,2,2,12.8,7.8,8,-0.199999999999999,TRUE,FALSE
0.2,1,2,3,12.8,7.6,7,0.600000000000001,TRUE,TRUE
0.2,1,2,4,12.8,7.4,6,1.4,TRUE,TRUE
0.2,1,2,5,12.8,7.2,5,2.2,TRUE,TRUE
0.2,1,2,6,12.8,7,4,3,TRUE,TRUE
0.2,1,3,1,12.8,7,9,-2,TRUE,FALSE
0.2,1,3,2,12.8,6.8,8,-1.2,TRUE,FALSE
0.2,1,3,3,12.8,6.6,7,-0.399999999999999,TRUE,FALSE
0.2,1,3,4,12.8,6.4,6,0.4,TRUE,TRUE
0.2,1,3,5,12.8,6.2,5,1.2,TRUE,TRUE
0.2,1,3,6,12.8,6,4,2,TRUE,TRUE
0.2,1,4,1,12.8,6,9,-3,TRUE,FALSE
0.2,1,4,2,12.8,5.8,8,-2.2,TRUE,FALSE
0.2,1,4,3,12.8,5.6,7,-1.4,TRUE,FALSE
0.2,1,4,4,12.8,5.4,6,-0.6,TRUE,FALSE
0.2,1,4,5,12.8,5.2,5,0.200000000000001,TRUE,TRUE
0.2,1,4,6,12.8,5,4,1,TRUE,TRUE
0.2,1,5,1,12.8,5,9,-4,TRUE,FALSE
0.2,1,5,2,12.8,4.8,8,-3.2,TRUE,FALSE
0.2,1,5,3,12.8,4.6,7,-2.4,TRUE,FALSE
0.2,1,5,4,12.8,4.4,6,-1.6,TRUE,FALSE
0.2,1,5,5,12.8,4.2,5,-0.8,TRUE,FALSE
0.2,1,5,6,12.8,4,4,0,TRUE,TRUE
0.2,1,6,1,12.8,4,9,-5,TRUE,FALSE
0.2,1,6,2,12.8,3.8,8,-4.2,TRUE,FALSE
0.2,1,6,3,12.8,3.6,7,-3.4,TRUE,FALSE
0.2,1,6,4,12.8,3.4,6,-2.6,TRUE,FALSE
0.2,1,6,5,12.8,3.2,5,-1.8,TRUE,FALSE
0.2,1,6,6,12.8,3,4,-1,TRUE,FALSE
0.2,2,0,1,12.6,10.2,9,1.2,TRUE,TRUE
0.2,2,0,2,12.6,10,8,2,TRUE,TRUE
0.2,2,0,3,12.6,9.8,7,2.8,TRUE,TRUE
0.2,2,0,4,12.6,9.6,6,3.6,TRUE,TRUE
0.2,2,0,5,12.6,9.4,5,4.4,TRUE,TRUE
0.2,2,0,6,12.6,9.2,4,5.2,TRUE,TRUE
0.2,2,1,1,12.6,9.2,9,0.199999999999999,TRUE,TRUE
0.2,2,1,2,12.6,9,8,1,TRUE,TRUE
0.2,2,1,3,12.6,8.8,7,1.8,TRUE,TRUE
0.2,2,1,4,12.6,8.6,6,2.6,TRUE,TRUE
0.2,2,1,5,12.6,8.4,5,3.4,TRUE,TRUE
0.2,2,1,6,12.6,8.2,4,4.2,TRUE,TRUE
0.2,2,2,1,12.6,8.2,9,-0.799999999999999,TRUE,FALSE
0.2,2,2,2,12.6,8,8,0,TRUE,TRUE
0.2,2,2,3,12.6,7.8,7,0.800000000000001,TRUE,TRUE
0.2,2,2,4,12.6,7.6,6,1.6,TRUE,TRUE
0.2,2,2,5,12.6,7.4,5,2.4,TRUE,TRUE
0.2,2,2,6,12.6,7.2,4,3.2,TRUE,TRUE
0.2,2,3,1,12.6,7.2,9,-1.8,TRUE,FALSE
0.2,2,3,2,12.6,7,8,-0.999999999999999,TRUE,FALSE
0.2,2,3,3,12.6,6.8,7,-0.199999999999999,TRUE,FALSE
0.2,2,3,4,12.6,6.6,6,0.600000000000001,TRUE,TRUE
0.2,2,3,5,12.6,6.4,5,1.4,TRUE,TRUE
0.2,2,3,6,12.6,6.2,4,2.2,TRUE,TRUE
0.2,2,4,1,12.6,6.2,9,-2.8,TRUE,FALSE
0.2,2,4,2,12.6,6,8,-2,TRUE,FALSE
0.2,2,4,3,12.6,5.8,7,-1.2,TRUE,FALSE
0.2,2,4,4,12.6,5.6,6,-0.399999999999999,TRUE,FALSE
0.2,2,4,5,12.6,5.4,5,0.4,TRUE,TRUE
0.2,2,4,6,12.6,5.2,4,1.2,TRUE,TRUE
0.2,2,5,1,12.6,5.2,9,-3.8,TRUE,FALSE
0.2,2,5,2,12.6,5,8,-3,TRUE,FALSE
0.2,2,5,3,12.6,4.8,7,-2.2,TRUE,FALSE
0.2,2,5,4,12.6,4.6,6,-1.4,TRUE,FALSE
0.2,2,5,5,12.6,4.4,5,-0.6,TRUE,FALSE
0.2,2,5,6,12.6,4.2,4,0.2,TRUE,TRUE
0.2,2,6,1,12.6,4.2,9,-4.8,TRUE,FALSE
0.2,2,6,2,12.6,4,8,-4,TRUE,FALSE
0.2,2,6,3,12.6,3.8,7,-3.2,TRUE,FALSE
0.2,2,6,4,12.6,3.6,6,-2.4,TRUE,FALSE
0.2,2,6,5,12.6,3.4,5,-1.6,TRUE,FALSE
0.2,2,6,6,12.6,3.2,4,-0.8,TRUE,FALSE
0.2,3,0,1,12.4,10.4,9,1.4,TRUE,TRUE
0.2,3,0,2,12.4,10.2,8,2.2,TRUE,TRUE
0.2,3,0,3,12.4,10,7,3,TRUE,TRUE
0.2,3,0,4,12.4,9.8,6,3.8,TRUE,TRUE
0.2,3,0,5,12.4,9.6,5,4.6,TRUE,TRUE
0.2,3,0,6,12.4,9.4,4,5.4,TRUE,TRUE
0.2,3,1,1,12.4,9.4,9,0.4,TRUE,TRUE
0.2,3,1,2,12.4,9.2,8,1.2,TRUE,TRUE
0.2,3,1,3,12.4,9,7,2,TRUE,TRUE
0.2,3,1,4,12.4,8.8,6,2.8,TRUE,TRUE
0.2,3,1,5,12.4,8.6,5,3.6,TRUE,TRUE
0.2,3,1,6,12.4,8.4,4,4.4,TRUE,TRUE
0.2,3,2,1,12.4,8.4,9,-0.6,TRUE,FALSE
0.2,3,2,2,12.4,8.2,8,0.200000000000001,TRUE,TRUE
0.2,3,2,3,12.4,8,7,1,TRUE,TRUE
0.2,3,2,4,12.4,7.8,6,1.8,TRUE,TRUE
0.2,3,2,5,12.4,7.6,5,2.6,TRUE,TRUE
0.2,3,2,6,12.4,7.4,4,3.4,TRUE,TRUE
0.2,3,3,1,12.4,7.4,9,-1.6,TRUE,FALSE
0.2,3,3,2,12.4,7.2,8,-0.799999999999999,TRUE,FALSE
0.2,3,3,3,12.4,7,7,8.88178419700125e-16,TRUE,TRUE
0.2,3,3,4,12.4,6.8,6,0.800000000000001,TRUE,TRUE
0.2,3,3,5,12.4,6.6,5,1.6,TRUE,TRUE
0.2,3,3,6,12.4,6.4,4,2.4,TRUE,TRUE
0.2,3,4,1,12.4,6.4,9,-2.6,TRUE,FALSE
0.2,3,4,2,12.4,6.2,8,-1.8,TRUE,FALSE
0.2,3,4,3,12.4,6,7,-0.999999999999999,TRUE,FALSE
0.2,3,4,4,12.4,5.8,6,-0.199999999999999,TRUE,FALSE
0.2,3,4,5,12.4,5.6,5,0.600000000000001,TRUE,TRUE
0.2,3,4,6,12.4,5.4,4,1.4,TRUE,TRUE
0.2,3,5,1,12.4,5.4,9,-3.6,TRUE,FALSE
0.2,3,5,2,12.4,5.2,8,-2.8,TRUE,FALSE
0.2,3,5,3,12.4,5,7,-2,TRUE,FALSE
0.2,3,5,4,12.4,4.8,6,-1.2,TRUE,FALSE
0.2,3,5,5,12.4,4.6,5,-0.4,TRUE,FALSE
0.2,3,5,6,12.4,4.4,4,0.4,TRUE,TRUE
0.2,3,6,1,12.4,4.4,9,-4.6,TRUE,FALSE
0.2,3,6,2,12.4,4.2,8,-3.8,TRUE,FALSE
0.2,3,6,3,12.4,4,7,-3,TRUE,FALSE
0.2,3,6,4,12.4,3.8,6,-2.2,TRUE,FALSE
0.2,3,6,5,12.4,3.6,5,-1.4,TRUE,FALSE
0.2,3,6,6,12.4,3.4,4,-0.6,TRUE,FALSE
0.2,4,0,1,12.2,10.6,9,1.6,TRUE,TRUE
0.2,4,0,2,12.2,10.4,8,2.4,TRUE,TRUE
0.2,4,0,3,12.2,10.2,7,3.2,TRUE,TRUE
0.2,4,0,4,12.2,10,6,4,TRUE,TRUE
0.2,4,0,5,12.2,9.8,5,4.8,TRUE,TRUE
0.2,4,0,6,12.2,9.6,4,5.6,TRUE,TRUE
0.2,4,1,1,12.2,9.6,9,0.600000000000001,TRUE,TRUE
0.2,4,1,2,12.2,9.4,8,1.4,TRUE,TRUE
0.2,4,1,3,12.2,9.2,7,2.2,TRUE,TRUE
0.2,4,1,4,12.2,9,6,3,TRUE,TRUE
0.2,4,1,5,12.2,8.8,5,3.8,TRUE,TRUE
0.2,4,1,6,12.2,8.6,4,4.6,TRUE,TRUE
0.2,4,2,1,12.2,8.6,9,-0.399999999999999,TRUE,FALSE
0.2,4,2,2,12.2,8.4,8,0.4,TRUE,TRUE
0.2,4,2,3,12.2,8.2,7,1.2,TRUE,TRUE
0.2,4,2,4,12.2,8,6,2,TRUE,TRUE
0.2,4,2,5,12.2,7.8,5,2.8,TRUE,TRUE
0.2,4,2,6,12.2,7.6,4,3.6,TRUE,TRUE
0.2,4,3,1,12.2,7.6,9,-1.4,TRUE,FALSE
0.2,4,3,2,12.2,7.4,8,-0.6,TRUE,FALSE
0.2,4,3,3,12.2,7.2,7,0.200000000000001,TRUE,TRUE
0.2,4,3,4,12.2,7,6,1,TRUE,TRUE
0.2,4,3,5,12.2,6.8,5,1.8,TRUE,TRUE
0.2,4,3,6,12.2,6.6,4,2.6,TRUE,TRUE
0.2,4,4,1,12.2,6.6,9,-2.4,TRUE,FALSE
0.2,4,4,2,12.2,6.4,8,-1.6,TRUE,FALSE
0.2,4,4,3,12.2,6.2,7,-0.799999999999999,TRUE,FALSE
0.2,4,4,4,12.2,6,6,8.88178419700125e-16,TRUE,TRUE
0.2,4,4,5,12.2,5.8,5,0.800000000000001,TRUE,TRUE
0.2,4,4,6,12.2,5.6,4,1.6,TRUE,TRUE
0.2,4,5,1,12.2,5.6,9,-3.4,TRUE,FALSE
0.2,4,5,2,12.2,5.4,8,-2.6,TRUE,FALSE
0.2,4,5,3,12.2,5.2,7,-1.8,TRUE,FALSE
0.2,4,5,4,12.2,5,6,-1,TRUE,FALSE
0.2,4,5,5,12.2,4.8,5,-0.2,TRUE,FALSE
0.2,4,5,6,12.2,4.6,4,0.6,TRUE,TRUE
0.2,4,6,1,12.2,4.6,9,-4.4,TRUE,FALSE
0.2,4,6,2,12.2,4.4,8,-3.6,TRUE,FALSE
0.2,4,6,3,12.2,4.2,7,-2.8,TRUE,FALSE
0.2,4,6,4,12.2,4,6,-2,TRUE,FALSE
0.2,4,6,5,12.2,3.8,5,-1.2,TRUE,FALSE
0.2,4,6,6,12.2,3.6,4,-0.4,TRUE,FALSE
0.2,5,0,1,12,10.8,9,1.8,TRUE,TRUE
0.2,5,0,2,12,10.6,8,2.6,TRUE,TRUE
0.2,5,0,3,12,10.4,7,3.4,TRUE,TRUE
0.2,5,0,4,12,10.2,6,4.2,TRUE,TRUE
0.2,5,0,5,12,10,5,5,TRUE,TRUE
0.2,5,0,6,12,9.8,4,5.8,TRUE,TRUE
0.2,5,1,1,12,9.8,9,0.800000000000001,TRUE,TRUE
0.2,5,1,2,12,9.6,8,1.6,TRUE,TRUE
0.2,5,1,3,12,9.4,7,2.4,TRUE,TRUE
0.2,5,1,4,12,9.2,6,3.2,TRUE,TRUE
0.2,5,1,5,12,9,5,4,TRUE,TRUE
0.2,5,1,6,12,8.8,4,4.8,TRUE,TRUE
0.2,5,2,1,12,8.8,9,-0.199999999999999,TRUE,FALSE
0.2,5,2,2,12,8.6,8,0.600000000000001,TRUE,TRUE
0.2,5,2,3,12,8.4,7,1.4,TRUE,TRUE
0.2,5,2,4,12,8.2,6,2.2,TRUE,TRUE
0.2,5,2,5,12,8,5,3,TRUE,TRUE
0.2,5,2,6,12,7.8,4,3.8,TRUE,TRUE
0.2,5,3,1,12,7.8,9,-1.2,TRUE,FALSE
0.2,5,3,2,12,7.6,8,-0.399999999999999,TRUE,FALSE
0.2,5,3,3,12,7.4,7,0.4,TRUE,TRUE
0.2,5,3,4,12,7.2,6,1.2,TRUE,TRUE
0.2,5,3,5,12,7,5,2,TRUE,TRUE
0.2,5,3,6,12,6.8,4,2.8,TRUE,TRUE
0.2,5,4,1,12,6.8,9,-2.2,TRUE,FALSE
0.2,5,4,2,12,6.6,8,-1.4,TRUE,FALSE
0.2,5,4,3,12,6.4,7,-0.6,TRUE,FALSE
0.2,5,4,4,12,6.2,6,0.200000000000001,TRUE,TRUE
0.2,5,4,5,12,6,5,1,TRUE,TRUE
0.2,5,4,6,12,5.8,4,1.8,TRUE,TRUE
0.2,5,5,1,12,5.8,9,-3.2,TRUE,FALSE
0.2,5,5,2,12,5.6,8,-2.4,TRUE,FALSE
0.2,5,5,3,12,5.4,7,-1.6,TRUE,FALSE
0.2,5,5,4,12,5.2,6,-0.8,TRUE,FALSE
0.2,5,5,5,12,5,5,0,TRUE,TRUE
0.2,5,5,6,12,4.8,4,0.8,TRUE,TRUE
0.2,5,6,1,12,4.8,9,-4.2,TRUE,FALSE
0.2,5,6,2,12,4.6,8,-3.4,TRUE,FALSE
0.2,5,6,3,12,4.4,7,-2.6,TRUE,FALSE
0.2,5,6,4,12,4.2,6,-1.8,TRUE,FALSE
0.2,5,6,5,12,4,5,-1,TRUE,FALSE
0.2,5,6,6,12,3.8,4,-0.2,TRUE,FALSE
0.2,6,0,1,11.8,11,9,2,TRUE,TRUE
0.2,6,0,2,11.8,10.8,8,2.8,TRUE,TRUE
0.2,6,0,3,11.8,10.6,7,3.6,TRUE,TRUE
0.2,6,0,4,11.8,10.4,6,4.4,TRUE,TRUE
0.2,6,0,5,11.8,10.2,5,5.2,TRUE,TRUE
0.2,6,0,6,11.8,10,4,6,TRUE,TRUE
0.2,6,1,1,11.8,10,9,1,TRUE,TRUE
0.2,6,1,2,11.8,9.8,8,1.8,TRUE,TRUE
0.2,6,1,3,11.8,9.6,7,2.6,TRUE,TRUE
0.2,6,1,4,11.8,9.4,6,3.4,TRUE,TRUE
0.2,6,1,5,11.8,9.2,5,4.2,TRUE,TRUE
0.2,6,1,6,11.8,9,4,5,TRUE,TRUE
0.2,6,2,1,11.8,9,9,0,TRUE,TRUE
0.2,6,2,2,11.8,8.8,8,0.800000000000001,TRUE,TRUE
0.2,6,2,3,11.8,8.6,7,1.6,TRUE,TRUE
0.2,6,2,4,11.8,8.4,6,2.4,TRUE,TRUE
0.2,6,2,5,11.8,8.2,5,3.2,TRUE,TRUE
0.2,6,2,6,11.8,8,4,4,TRUE,TRUE
0.2,6,3,1,11.8,8,9,-1,TRUE,FALSE
0.2,6,3,2,11.8,7.8,8,-0.199999999999999,TRUE,FALSE
0.2,6,3,3,11.8,7.6,7,0.600000000000001,TRUE,TRUE
0.2,6,3,4,11.8,7.4,6,1.4,TRUE,TRUE
0.2,6,3,5,11.8,7.2,5,2.2,TRUE,TRUE
0.2,6,3,6,11.8,7,4,3,TRUE,TRUE
0.2,6,4,1,11.8,7,9,-2,TRUE,FALSE
0.2,6,4,2,11.8,6.8,8,-1.2,TRUE,FALSE
0.2,6,4,3,11.8,6.6,7,-0.399999999999999,TRUE,FALSE
0.2,6,4,4,11.8,6.4,6,0.4,TRUE,TRUE
0.2,6,4,5,11.8,6.2,5,1.2,TRUE,TRUE
0.2,6,4,6,11.8,6,4,2,TRUE,TRUE
0.2,6,5,1,11.8,6,9,-3,TRUE,FALSE
0.2,6,5,2,11.8,5.8,8,-2.2,TRUE,FALSE
0.2,6,5,3,11.8,5.6,7,-1.4,TRUE,FALSE
0.2,6,5,4,11.8,5.4,6,-0.6,TRUE,FALSE
0.2,6,5,5,11.8,5.2,5,0.2,TRUE,TRUE
0.2,6,5,6,11.8,5,4,1,TRUE,TRUE
0.2,6,6,1,11.8,5,9,-4,TRUE,FALSE
0.2,6,6,2,11.8,4.8,8,-3.2,TRUE,FALSE
0.2,6,6,3,11.8,4.6,7,-2.4,TRUE,FALSE
0.2,6,6,4,11.8,4.4,6,-1.6,TRUE,FALSE
0.2,6,6,5,11.8,4.2,5,-0.8,TRUE,FALSE
0.2,6,6,6,11.8,4,4,0,TRUE,TRUE
0.2,7,0,1,11.6,11.2,9,2.2,TRUE,TRUE
0.2,7,0,2,11.6,11,8,3,TRUE,TRUE
0.2,7,0,3,11.6,10.8,7,3.8,TRUE,TRUE
0.2,7,0,4,11.6,10.6,6,4.6,TRUE,TRUE
0.2,7,0,5,11.6,10.4,5,5.4,TRUE,TRUE
0.2,7,0,6,11.6,10.2,4,6.2,TRUE,TRUE
0.2,7,1,1,11.6,10.2,9,1.2,TRUE,TRUE
0.2,7,1,2,11.6,10,8,2,TRUE,TRUE
0.2,7,1,3,11.6,9.8,7,2.8,TRUE,TRUE
0.2,7,1,4,11.6,9.6,6,3.6,TRUE,TRUE
0.2,7,1,5,11.6,9.4,5,4.4,TRUE,TRUE
0.2,7,1,6,11.6,9.2,4,5.2,TRUE,TRUE
0.2,7,2,1,11.6,9.2,9,0.200000000000001,TRUE,TRUE
0.2,7,2,2,11.6,9,8,1,TRUE,TRUE
0.2,7,2,3,11.6,8.8,7,1.8,TRUE,TRUE
0.2,7,2,4,11.6,8.6,6,2.6,TRUE,TRUE
0.2,7,2,5,11.6,8.4,5,3.4,TRUE,TRUE
0.2,7,2,6,11.6,8.2,4,4.2,TRUE,TRUE
0.2,7,3,1,11.6,8.2,9,-0.799999999999999,TRUE,FALSE
0.2,7,3,2,11.6,8,8,0,TRUE,TRUE
0.2,7,3,3,11.6,7.8,7,0.800000000000001,TRUE,TRUE
0.2,7,3,4,11.6,7.6,6,1.6,TRUE,TRUE
0.2,7,3,5,11.6,7.4,5,2.4,TRUE,TRUE
0.2,7,3,6,11.6,7.2,4,3.2,TRUE,TRUE
0.2,7,4,1,11.6,7.2,9,-1.8,TRUE,FALSE
0.2,7,4,2,11.6,7,8,-0.999999999999999,TRUE,FALSE
0.2,7,4,3,11.6,6.8,7,-0.199999999999999,TRUE,FALSE
0.2,7,4,4,11.6,6.6,6,0.600000000000001,TRUE,TRUE
0.2,7,4,5,11.6,6.4,5,1.4,TRUE,TRUE
0.2,7,4,6,11.6,6.2,4,2.2,TRUE,TRUE
0.2,7,5,1,11.6,6.2,9,-2.8,TRUE,FALSE
0.2,7,5,2,11.6,6,8,-2,TRUE,FALSE
0.2,7,5,3,11.6,5.8,7,-1.2,TRUE,FALSE
0.2,7,5,4,11.6,5.6,6,-0.4,TRUE,FALSE
0.2,7,5,5,11.6,5.4,5,0.4,TRUE,TRUE
0.2,7,5,6,11.6,5.2,4,1.2,TRUE,TRUE
0.2,7,6,1,11.6,5.2,9,-3.8,TRUE,FALSE
0.2,7,6,2,11.6,5,8,-3,TRUE,FALSE
0.2,7,6,3,11.6,4.8,7,-2.2,TRUE,FALSE
0.2,7,6,4,11.6,4.6,6,-1.4,TRUE,FALSE
0.2,7,6,5,11.6,4.4,5,-0.6,TRUE,FALSE
0.2,7,6,6,11.6,4.2,4,0.2,TRUE,TRUE
0.2,8,0,1,11.4,11.4,9,2.4,TRUE,TRUE
0.2,8,0,2,11.4,11.2,8,3.2,TRUE,TRUE
0.2,8,0,3,11.4,11,7,4,TRUE,TRUE
0.2,8,0,4,11.4,10.8,6,4.8,TRUE,TRUE
0.2,8,0,5,11.4,10.6,5,5.6,TRUE,TRUE
0.2,8,0,6,11.4,10.4,4,6.4,TRUE,TRUE
0.2,8,1,1,11.4,10.4,9,1.4,TRUE,TRUE
0.2,8,1,2,11.4,10.2,8,2.2,TRUE,TRUE
0.2,8,1,3,11.4,10,7,3,TRUE,TRUE
0.2,8,1,4,11.4,9.8,6,3.8,TRUE,TRUE
0.2,8,1,5,11.4,9.6,5,4.6,TRUE,TRUE
0.2,8,1,6,11.4,9.4,4,5.4,TRUE,TRUE
0.2,8,2,1,11.4,9.4,9,0.4,TRUE,TRUE
0.2,8,2,2,11.4,9.2,8,1.2,TRUE,TRUE
0.2,8,2,3,11.4,9,7,2,TRUE,TRUE
0.2,8,2,4,11.4,8.8,6,2.8,TRUE,TRUE
0.2,8,2,5,11.4,8.6,5,3.6,TRUE,TRUE
0.2,8,2,6,11.4,8.4,4,4.4,TRUE,TRUE
0.2,8,3,1,11.4,8.4,9,-0.6,TRUE,FALSE
0.2,8,3,2,11.4,8.2,8,0.200000000000001,TRUE,TRUE
0.2,8,3,3,11.4,8,7,1,TRUE,TRUE
0.2,8,3,4,11.4,7.8,6,1.8,TRUE,TRUE
0.2,8,3,5,11.4,7.6,5,2.6,TRUE,TRUE
0.2,8,3,6,11.4,7.4,4,3.4,TRUE,TRUE
0.2,8,4,1,11.4,7.4,9,-1.6,TRUE,FALSE
0.2,8,4,2,11.4,7.2,8,-0.799999999999999,TRUE,FALSE
0.2,8,4,3,11.4,7,7,8.88178419700125e-16,TRUE,TRUE
0.2,8,4,4,11.4,6.8,6,0.800000000000001,TRUE,TRUE
0.2,8,4,5,11.4,6.6,5,1.6,TRUE,TRUE
0.2,8,4,6,11.4,6.4,4,2.4,TRUE,TRUE
0.2,8,5,1,11.4,6.4,9,-2.6,TRUE,FALSE
0.2,8,5,2,11.4,6.2,8,-1.8,TRUE,FALSE
0.2,8,5,3,11.4,6,7,-1,TRUE,FALSE
0.2,8,5,4,11.4,5.8,6,-0.2,TRUE,FALSE
0.2,8,5,5,11.4,5.6,5,0.6,TRUE,TRUE
0.2,8,5,6,11.4,5.4,4,1.4,TRUE,TRUE
0.2,8,6,1,11.4,5.4,9,-3.6,TRUE,FALSE
0.2,8,6,2,11.4,5.2,8,-2.8,TRUE,FALSE
0.2,8,6,3,11.4,5,7,-2,TRUE,FALSE
0.2,8,6,4,11.4,4.8,6,-1.2,TRUE,FALSE
0.2,8,6,5,11.4,4.6,5,-0.399999999999999,TRUE,FALSE
0.2,8,6,6,11.4,4.4,4,0.4,TRUE,TRUE
0.3,0,0,1,21,9.7,9,0.699999999999999,TRUE,TRUE
0.3,0,0,2,21,9.4,8,1.4,TRUE,TRUE
0.3,0,0,3,21,9.1,7,2.1,TRUE,TRUE
0.3,0,0,4,21,8.8,6,2.8,TRUE,TRUE
0.3,0,0,5,21,8.5,5,3.5,TRUE,TRUE
0.3,0,0,6,21,8.2,4,4.2,TRUE,TRUE
0.3,0,1,1,21,8.7,9,-0.300000000000001,TRUE,FALSE
0.3,0,1,2,21,8.4,8,0.4,TRUE,TRUE
0.3,0,1,3,21,8.1,7,1.1,TRUE,TRUE
0.3,0,1,4,21,7.8,6,1.8,TRUE,TRUE
0.3,0,1,5,21,7.5,5,2.5,TRUE,TRUE
0.3,0,1,6,21,7.2,4,3.2,TRUE,TRUE
0.3,0,2,1,21,7.7,9,-1.3,TRUE,FALSE
0.3,0,2,2,21,7.4,8,-0.6,TRUE,FALSE
0.3,0,2,3,21,7.1,7,0.0999999999999996,TRUE,TRUE
0.3,0,2,4,21,6.8,6,0.8,TRUE,TRUE
0.3,0,2,5,21,6.5,5,1.5,TRUE,TRUE
0.3,0,2,6,21,6.2,4,2.2,TRUE,TRUE
0.3,0,3,1,21,6.7,9,-2.3,TRUE,FALSE
0.3,0,3,2,21,6.4,8,-1.6,TRUE,FALSE
0.3,0,3,3,21,6.1,7,-0.9,TRUE,FALSE
0.3,0,3,4,21,5.8,6,-0.2,TRUE,FALSE
0.3,0,3,5,21,5.5,5,0.5,TRUE,TRUE
0.3,0,3,6,21,5.2,4,1.2,TRUE,TRUE
0.3,0,4,1,21,5.7,9,-3.3,TRUE,FALSE
0.3,0,4,2,21,5.4,8,-2.6,TRUE,FALSE
0.3,0,4,3,21,5.1,7,-1.9,TRUE,FALSE
0.3,0,4,4,21,4.8,6,-1.2,TRUE,FALSE
0.3,0,4,5,21,4.5,5,-0.500000000000001,TRUE,FALSE
0.3,0,4,6,21,4.2,4,0.199999999999999,TRUE,TRUE
0.3,0,5,1,21,4.7,9,-4.3,TRUE,FALSE
0.3,0,5,2,21,4.4,8,-3.6,TRUE,FALSE
0.3,0,5,3,21,4.1,7,-2.9,TRUE,FALSE
0.3,0,5,4,21,3.8,6,-2.2,TRUE,FALSE
0.3,0,5,5,21,3.5,5,-1.5,TRUE,FALSE
0.3,0,5,6,21,3.2,4,-0.8,TRUE,FALSE
0.3,0,6,1,21,3.7,9,-5.3,TRUE,FALSE
0.3,0,6,2,21,3.4,8,-4.6,TRUE,FALSE
0.3,0,6,3,21,3.1,7,-3.9,TRUE,FALSE
0.3,0,6,4,21,2.8,6,-3.2,TRUE,FALSE
0.3,0,6,5,21,2.5,5,-2.5,TRUE,FALSE
0.3,0,6,6,21,2.2,4,-1.8,TRUE,FALSE
0.3,1,0,1,20.7,10,9,1,TRUE,TRUE
0.3,1,0,2,20.7,9.7,8,1.7,TRUE,TRUE
0.3,1,0,3,20.7,9.4,7,2.4,TRUE,TRUE
0.3,1,0,4,20.7,9.1,6,3.1,TRUE,TRUE
0.3,1,0,5,20.7,8.8,5,3.8,TRUE,TRUE
0.3,1,0,6,20.7,8.5,4,4.5,TRUE,TRUE
0.3,1,1,1,20.7,9,9,0,TRUE,TRUE
0.3,1,1,2,20.7,8.7,8,0.699999999999999,TRUE,TRUE
0.3,1,1,3,20.7,8.4,7,1.4,TRUE,TRUE
0.3,1,1,4,20.7,8.1,6,2.1,TRUE,TRUE
0.3,1,1,5,20.7,7.8,5,2.8,TRUE,TRUE
0.3,1,1,6,20.7,7.5,4,3.5,TRUE,TRUE
0.3,1,2,1,20.7,8,9,-1,TRUE,FALSE
0.3,1,2,2,20.7,7.7,8,-0.3,TRUE,FALSE
0.3,1,2,3,20.7,7.4,7,0.4,TRUE,TRUE
0.3,1,2,4,20.7,7.1,6,1.1,TRUE,TRUE
0.3,1,2,5,20.7,6.8,5,1.8,TRUE,TRUE
