P,G,Ca,L,R,LR,Cs,I,alpha,offshore_conflict_payoff,surf_conflict_payoff,surf_accept_payoff,fight_minus_accept,offshore_implements,surf_prefers_fight
0.1,0.0,13.0,8.8,100.0,20.0,2.0,22.0,0.1,6.000000000000001,8.12,13.2,-5.08,True,False
0.1,0.0,13.0,19.8,100.0,20.0,2.0,22.0,0.1,6.000000000000001,7.02,2.1999999999999993,4.82,True,True
0.1,0.0,14.0,4.4,100.0,20.0,2.0,22.0,0.1,6.000000000000001,7.5600000000000005,17.6,-10.040000000000001,True,False
0.1,0.0,14.0,8.8,100.0,20.0,2.0,22.0,0.1,6.000000000000001,7.12,13.2,-6.079999999999999,True,False
0.1,0.0,14.0,19.8,100.0,20.0,2.0,22.0,0.1,6.000000000000001,6.02,2.1999999999999993,3.8200000000000003,True,True
0.1,0.0,15.0,4.4,100.0,20.0,2.0,22.0,0.1,6.000000000000001,6.56,17.6,-11.040000000000003,True,False
0.1,0.0,15.0,8.8,100.0,20.0,2.0,22.0,0.1,6.000000000000001,6.12,13.2,-7.079999999999999,True,False
0.1,0.0,15.0,19.8,100.0,20.0,2.0,22.0,0.1,6.000000000000001,5.02,2.1999999999999993,2.8200000000000003,True,True
0.1,0.0,16.0,4.4,100.0,20.0,2.0,22.0,0.1,6.000000000000001,5.5600000000000005,17.6,-12.040000000000001,True,False
0.1,0.0,16.0,8.8,100.0,20.0,2.0,22.0,0.1,6.000000000000001,5.12,13.2,-8.079999999999998,True,False
0.1,0.0,16.0,19.8,100.0,20.0,2.0,22.0,0.1,6.000000000000001,4.0200000000000005,2.1999999999999993,1.8200000000000012,True,True
0.1,0.0,17.0,4.4,100.0,20.0,2.0,22.0,0.1,6.000000000000001,4.5600000000000005,17.6,-13.040000000000001,True,False
0.1,0.0,17.0,8.8,100.0,20.0,2.0,22.0,0.1,6.000000000000001,4.12,13.2,-9.079999999999998,True,False
0.1,0.0,17.0,19.8,100.0,20.0,2.0,22.0,0.1,6.000000000000001,3.0199999999999996,2.1999999999999993,0.8200000000000003,True,True
0.1,0.0,18.0,4.4,100.0,20.0,2.0,22.0,0.1,6.000000000000001,3.56,17.6,-14.040000000000001,True,False
0.1,0.0,18.0,8.8,100.0,20.0,2.0,22.0,0.1,6.000000000000001,3.12,13.2,-10.079999999999998,True,False
0.1,0.0,18.0,19.8,100.0,20.0,2.0,22.0,0.1,6.000000000000001,2.02,2.1999999999999993,-0.17999999999999927,True,False
0.1,0.0,19.0,4.4,100.0,20.0,2.0,22.0,0.1,6.000000000000001,2.5600000000000005,17.6,-15.040000000000001,True,False
0.1,0.0,19.0,8.8,100.0,20.0,2.0,22.0,0.1,6.000000000000001,2.12,13.2,-11.079999999999998,True,False
0.1,0.0,19.0,19.8,100.0,20.0,2.0,22.0,0.1,6.000000000000001,1.02,2.1999999999999993,-1.1799999999999993,True,False
0.1,0.0,20.0,4.4,100.0,20.0,2.0,22.0,0.1,6.000000000000001,1.56,17.6,-16.040000000000003,True,False
0.1,0.0,20.0,8.8,100.0,20.0,2.0,22.0,0.1,6.000000000000001,1.1199999999999999,13.2,-12.08,True,False
0.1,0.0,20.0,19.8,100.0,20.0,2.0,22.0,0.1,6.000000000000001,0.019999999999999796,2.1999999999999993,-2.1799999999999997,True,False
0.1,0.0,21.0,4.4,100.0,20.0,2.0,22.0,0.1,6.000000000000001,0.5600000000000002,17.6,-17.040000000000003,True,False
0.1,0.0,21.0,8.8,100.0,20.0,2.0,22.0,0.1,6.000000000000001,0.11999999999999988,13.2,-13.08,True,False
0.1,0.0,21.0,19.8,100.0,20.0,2.0,22.0,0.1,6.000000000000001,-0.9800000000000001,2.1999999999999993,-3.1799999999999993,True,False
0.1,0.0,22.0,4.4,100.0,20.0,2.0,22.0,0.1,6.000000000000001,-0.4399999999999999,17.6,-18.040000000000003,True,False
0.1,0.0,22.0,8.8,100.0,20.0,2.0,22.0,0.1,6.000000000000001,-0.8800000000000001,13.2,-14.08,True,False
0.1,0.0,22.0,19.8,100.0,20.0,2.0,22.0,0.1,6.000000000000001,-1.9800000000000002,2.1999999999999993,-4.18,True,False
0.1,1.0,0.0,4.4,100.0,20.0,2.0,22.0,0.1,5.9,21.66,17.6,4.059999999999999,True,True
0.1,1.0,0.0,8.8,100.0,20.0,2.0,22.0,0.1,5.9,21.22,13.2,8.02,True,True
0.1,1.0,0.0,19.8,100.0,20.0,2.0,22.0,0.1,5.9,20.12,2.1999999999999993,17.92,True,True
0.1,1.0,1.0,4.4,100.0,20.0,2.0,22.0,0.1,5.9,20.660000000000004,17.6,3.0600000000000023,True,True
0.1,1.0,1.0,8.8,100.0,20.0,2.0,22.0,0.1,5.9,20.220000000000002,13.2,7.020000000000003,True,True
0.1,1.0,1.0,19.8,100.0,20.0,2.0,22.0,0.1,5.9,19.12,2.1999999999999993,16.92,True,True
0.1,1.0,2.0,4.4,100.0,20.0,2.0,22.0,0.1,5.9,19.66,17.6,2.0599999999999987,True,True
0.1,1.0,2.0,8.8,100.0,20.0,2.0,22.0,0.1,5.9,19.22,13.2,6.02,True,True
0.1,1.0,2.0,19.8,100.0,20.0,2.0,22.0,0.1,5.9,18.12,2.1999999999999993,15.920000000000002,True,True
0.1,1.0,3.0,4.4,100.0,20.0,2.0,22.0,0.1,5.9,18.66,17.6,1.0599999999999987,True,True
0.1,1.0,3.0,8.8,100.0,20.0,2.0,22.0,0.1,5.9,18.220000000000002,13.2,5.020000000000003,True,True
0.1,1.0,3.0,19.8,100.0,20.0,2.0,22.0,0.1,5.9,17.12,2.1999999999999993,14.920000000000002,True,True
0.1,1.0,4.0,4.4,100.0,20.0,2.0,22.0,0.1,5.9,17.66,17.6,0.05999999999999872,True,True
0.1,1.0,4.0,8.8,100.0,20.0,2.0,22.0,0.1,5.9,17.22,13.2,4.02,True,True
0.1,1.0,4.0,19.8,100.0,20.0,2.0,22.0,0.1,5.9,16.119999999999997,2.1999999999999993,13.919999999999998,True,True
0.1,1.0,5.0,4.4,100.0,20.0,2.0,22.0,0.1,5.9,16.66,17.6,-0.9400000000000013,True,False
